filename,prediciton,Probability for each possible outcome
4088.tif,1,[2.82698e-12 1.00000e+00]
9553.tif,1,[9.874367e-18 1.000000e+00]
1655.tif,1,[8.60507e-22 1.00000e+00]
7783.tif,1,[3.5776322e-06 9.9999642e-01]
3532.tif,1,[1.3317551e-10 1.0000000e+00]
3240.tif,1,[1.1926355e-17 1.0000000e+00]
6338.tif,1,[2.2404386e-14 1.0000000e+00]
9180.tif,1,[0. 1.]
7191.tif,0,[1.0000000e+00 2.9423463e-17]
5786.tif,1,[7.507905e-07 9.999993e-01]
9143.tif,1,[2.8650422e-35 1.0000000e+00]
276.tif,1,[2.34039e-10 1.00000e+00]
4665.tif,1,[0.0014398  0.99856025]
7422.tif,1,[3.504952e-08 1.000000e+00]
8705.tif,1,[6.3132417e-34 1.0000000e+00]
6073.tif,1,[1.4692571e-32 1.0000000e+00]
4843.tif,0,[0.9983228  0.00167716]
5156.tif,1,[3.172832e-12 1.000000e+00]
3241.tif,1,[6.3027314e-25 1.0000000e+00]
7769.tif,1,[1.6299906e-24 1.0000000e+00]
8670.tif,1,[3.2997355e-18 1.0000000e+00]
1668.tif,1,[0.30277428 0.69722575]
7594.tif,1,[9.707208e-08 9.999999e-01]
9591.tif,1,[1.96061e-08 1.00000e+00]
7582.tif,1,[7.729563e-21 1.000000e+00]
473.tif,1,[3.7699194e-14 1.0000000e+00]
1130.tif,1,[0. 1.]
5424.tif,1,[1.20166034e-04 9.99879837e-01]
3733.tif,0,[0.9786744  0.02132561]
2175.tif,1,[1.1557282e-28 1.0000000e+00]
5961.tif,1,[3.2286643e-17 1.0000000e+00]
8538.tif,1,[1.4280746e-15 1.0000000e+00]
6071.tif,1,[3.523659e-20 1.000000e+00]
9356.tif,1,[1.0874783e-09 1.0000000e+00]
5550.tif,1,[3.0474762e-10 1.0000000e+00]
9357.tif,1,[5.9095514e-06 9.9999404e-01]
4840.tif,1,[5.7127074e-11 1.0000000e+00]
6919.tif,1,[3.3596121e-09 1.0000000e+00]
5753.tif,1,[5.009916e-16 1.000000e+00]
7636.tif,0,[0.70947695 0.29052302]
5009.tif,1,[1.9304321e-18 1.0000000e+00]
2941.tif,0,[0.9978004  0.00219956]
5784.tif,1,[5.424473e-17 1.000000e+00]
7756.tif,0,[9.9953508e-01 4.6496018e-04]
9784.tif,1,[7.989537e-11 1.000000e+00]
1657.tif,1,[6.195009e-11 1.000000e+00]
7226.tif,1,[8.5897505e-23 1.0000000e+00]
6110.tif,1,[1.07877325e-08 1.00000000e+00]
8600.tif,1,[2.376077e-17 1.000000e+00]
2477.tif,1,[7.552360e-05 9.999244e-01]
4589.tif,1,[9.071683e-16 1.000000e+00]
5132.tif,1,[6.7732783e-18 1.0000000e+00]
6407.tif,1,[3.029844e-26 1.000000e+00]
2661.tif,1,[3.1104286e-10 1.0000000e+00]
2926.tif,1,[1.5211163e-16 1.0000000e+00]
9898.tif,0,[9.9999535e-01 4.6866039e-06]
575.tif,1,[1.19113715e-36 1.00000000e+00]
8953.tif,1,[7.984946e-06 9.999920e-01]
3147.tif,1,[9.721479e-30 1.000000e+00]
1745.tif,1,[3.6318162e-32 1.0000000e+00]
5523.tif,1,[7.7566866e-19 1.0000000e+00]
206.tif,1,[0. 1.]
4198.tif,0,[0.9838882  0.01611178]
4417.tif,1,[0. 1.]
9641.tif,1,[2.6743808e-17 1.0000000e+00]
1553.tif,1,[0. 1.]
7863.tif,1,[7.333117e-16 1.000000e+00]
992.tif,0,[9.9999952e-01 4.2860924e-07]
3387.tif,0,[9.9984896e-01 1.5103503e-04]
4563.tif,1,[2.8014884e-16 1.0000000e+00]
2648.tif,1,[4.151096e-26 1.000000e+00]
3230.tif,1,[1.3944328e-10 1.0000000e+00]
8371.tif,1,[3.026083e-23 1.000000e+00]
9090.tif,1,[2.9019846e-16 1.0000000e+00]
7081.tif,1,[1.460598e-21 1.000000e+00]
3783.tif,1,[0. 1.]
5327.tif,1,[2.256409e-14 1.000000e+00]
1627.tif,1,[1.18279735e-20 1.00000000e+00]
1633.tif,1,[4.764512e-08 1.000000e+00]
1380.tif,1,[2.1591054e-06 9.9999785e-01]
2845.tif,1,[4.8039374e-21 1.0000000e+00]
9079.tif,1,[0. 1.]
9.tif,1,[1.3850177e-10 1.0000000e+00]
833.tif,1,[2.180360e-05 9.999782e-01]
4213.tif,1,[7.0351074e-14 1.0000000e+00]
5092.tif,0,[0.9871235  0.01287657]
8207.tif,1,[6.1001786e-32 1.0000000e+00]
8549.tif,1,[5.0979233e-06 9.9999487e-01]
8005.tif,1,[1.1157654e-05 9.9998879e-01]
2528.tif,1,[1.5187147e-14 1.0000000e+00]
2266.tif,1,[6.0651784e-20 1.0000000e+00]
4603.tif,1,[1.176527e-08 1.000000e+00]
2273.tif,1,[1.999939e-12 1.000000e+00]
8004.tif,1,[0.00549204 0.99450797]
2529.tif,1,[5.2638654e-07 9.9999952e-01]
8762.tif,1,[3.7063663e-13 1.0000000e+00]
9483.tif,1,[1.9099747e-07 9.9999976e-01]
4428.tif,0,[1.000000e+00 5.485373e-12]
3421.tif,1,[1.6432113e-19 1.0000000e+00]
1236.tif,1,[2.7503242e-07 9.9999976e-01]
4212.tif,1,[4.508374e-04 9.995491e-01]
4560.tif,0,[1.0000000e+00 1.6453255e-26]
1418.tif,1,[3.2962345e-35 1.0000000e+00]
8372.tif,1,[0. 1.]
1430.tif,1,[6.834406e-24 1.000000e+00]
7900.tif,1,[1.6705176e-31 1.0000000e+00]
3582.tif,1,[4.9762804e-07 9.9999952e-01]
99.tif,1,[0.08361054 0.91638947]
5859.tif,1,[0.00294485 0.9970552 ]
7525.tif,0,[9.9967349e-01 3.2652545e-04]
1183.tif,1,[2.5853277e-22 1.0000000e+00]
7247.tif,1,[6.7251264e-20 1.0000000e+00]
9901.tif,1,[3.4053574e-14 1.0000000e+00]
2673.tif,1,[1.5641685e-05 9.9998438e-01]
836.tif,1,[2.4862372e-15 1.0000000e+00]
62.tif,1,[3.2552927e-12 1.0000000e+00]
3237.tif,0,[0.56513095 0.43486908]
1434.tif,1,[6.0439026e-14 1.0000000e+00]
8376.tif,1,[1.8711111e-06 9.9999809e-01]
2908.tif,1,[0. 1.]
3394.tif,1,[1.0017499e-35 1.0000000e+00]
4410.tif,1,[0.31141135 0.68858874]
9120.tif,1,[4.7883203e-18 1.0000000e+00]
8799.tif,1,[1.1830363e-13 1.0000000e+00]
4174.tif,1,[4.1743817e-08 1.0000000e+00]
1743.tif,1,[8.47398e-24 1.00000e+00]
214.tif,0,[0.85324    0.14675997]
9653.tif,1,[7.820485e-24 1.000000e+00]
6560.tif,1,[1.6827917e-05 9.9998319e-01]
5135.tif,1,[5.515466e-18 1.000000e+00]
8439.tif,1,[0.20151965 0.7984804 ]
3593.tif,1,[4.0650402e-08 1.0000000e+00]
9096.tif,1,[6.132855e-21 1.000000e+00]
348.tif,1,[5.6015115e-25 1.0000000e+00]
7278.tif,0,[9.993044e-01 6.955983e-04]
5447.tif,1,[0.44728488 0.5527151 ]
9057.tif,1,[1.3919657e-19 1.0000000e+00]
6416.tif,1,[2.2525796e-16 1.0000000e+00]
5137.tif,1,[2.2496733e-05 9.9997747e-01]
3546.tif,1,[0.1587227 0.8412773]
5651.tif,1,[1.2058806e-15 1.0000000e+00]
5527.tif,1,[3.3653664e-12 1.0000000e+00]
6748.tif,1,[2.756607e-04 9.997243e-01]
6984.tif,1,[4.6762916e-26 1.0000000e+00]
7442.tif,1,[3.766795e-09 1.000000e+00]
3143.tif,1,[1.3593841e-11 1.0000000e+00]
5268.tif,1,[3.8883878e-14 1.0000000e+00]
7319.tif,1,[0.0234052  0.97659475]
6946.tif,1,[3.721217e-11 1.000000e+00]
4823.tif,0,[0.99900085 0.00099922]
6239.tif,1,[9.092467e-24 1.000000e+00]
3433.tif,1,[1.3089703e-16 1.0000000e+00]
5917.tif,1,[2.3889835e-09 1.0000000e+00]
8360.tif,1,[2.0934694e-08 1.0000000e+00]
1152.tif,1,[4.772061e-07 9.999995e-01]
2315.tif,1,[2.5584952e-14 1.0000000e+00]
5491.tif,1,[0. 1.]
3786.tif,1,[9.546578e-13 1.000000e+00]
4972.tif,1,[1.0154287e-10 1.0000000e+00]
8184.tif,0,[1.0000000e+00 2.1639002e-10]
434.tif,0,[0.81102794 0.1889721 ]
385.tif,1,[5.3126707e-09 1.0000000e+00]
3006.tif,1,[5.877568e-26 1.000000e+00]
9932.tif,1,[6.786974e-29 1.000000e+00]
1201.tif,1,[5.248065e-12 1.000000e+00]
2734.tif,1,[1.3524287e-24 1.0000000e+00]
9661.tif,1,[2.3061189e-06 9.9999774e-01]
2293.tif,1,[9.448156e-14 1.000000e+00]
6787.tif,1,[1.2641747e-25 1.0000000e+00]
7499.tif,1,[5.3323686e-19 1.0000000e+00]
6778.tif,1,[4.8406574e-20 1.0000000e+00]
4147.tif,0,[0.99049664 0.0095034 ]
4191.tif,0,[9.999360e-01 6.404913e-05]
6976.tif,1,[5.1663880e-04 9.9948335e-01]
1228.tif,1,[9.726121e-29 1.000000e+00]
6221.tif,1,[2.1853926e-07 9.9999976e-01]
1214.tif,1,[2.6703757e-31 1.0000000e+00]
7856.tif,1,[2.359046e-15 1.000000e+00]
2.tif,1,[6.207626e-08 9.999999e-01]
1360.tif,1,[0.00167981 0.99832016]
78.tif,0,[1.0000000e+00 3.2120286e-11]
4595.tif,1,[6.439438e-09 1.000000e+00]
6157.tif,1,[6.273054e-27 1.000000e+00]
2443.tif,1,[4.5917675e-23 1.0000000e+00]
7507.tif,1,[6.3122545e-19 1.0000000e+00]
9299.tif,1,[0.0224522 0.9775479]
3777.tif,0,[9.999732e-01 2.682980e-05]
3039.tif,1,[8.130188e-09 1.000000e+00]
9272.tif,0,[1.0000000e+00 1.2247397e-15]
7934.tif,1,[3.8514226e-14 1.0000000e+00]
7920.tif,1,[3.4775242e-19 1.0000000e+00]
5689.tif,0,[9.9987030e-01 1.2967967e-04]
4232.tif,1,[1.9730815e-06 9.9999797e-01]
8971.tif,1,[1.3386778e-09 1.0000000e+00]
6008.tif,0,[1.000000e+00 9.210879e-10]
7464.tif,1,[8.1822827e-29 1.0000000e+00]
7128.tif,1,[1.8614214e-10 1.0000000e+00]
2722.tif,1,[7.590465e-09 1.000000e+00]
8596.tif,1,[2.995985e-26 1.000000e+00]
5893.tif,1,[0.03327627 0.96672374]
7048.tif,1,[1.782373e-15 1.000000e+00]
7262.tif,1,[0.01470853 0.9852915 ]
6168.tif,1,[1.0145385e-32 1.0000000e+00]
354.tif,1,[2.7364786e-15 1.0000000e+00]
94.tif,1,[4.9710645e-11 1.0000000e+00]
7931.tif,1,[2.041914e-20 1.000000e+00]
5868.tif,1,[8.9934414e-14 1.0000000e+00]
5897.tif,1,[6.5500745e-34 1.0000000e+00]
5908.tif,1,[1.3007707e-33 1.0000000e+00]
8545.tif,1,[6.4590586e-20 1.0000000e+00]
4182.tif,1,[0.06089703 0.939103  ]
2524.tif,1,[3.6160897e-14 1.0000000e+00]
1004.tif,1,[1.1489086e-16 1.0000000e+00]
4168.tif,1,[0.03686903 0.963131  ]
2519.tif,1,[3.2616703e-07 9.9999964e-01]
2257.tif,0,[1.0000000e+00 3.5819355e-12]
4183.tif,1,[1.749156e-34 1.000000e+00]
209.tif,0,[1.0000000e+00 4.7046385e-09]
5289.tif,0,[1.0000000e+00 1.0278266e-08]
6233.tif,0,[9.9994373e-01 5.6223176e-05]
2928.tif,1,[0.00510526 0.99489474]
5672.tif,1,[7.861128e-33 1.000000e+00]
6409.tif,1,[0. 1.]
7717.tif,0,[9.9999034e-01 9.6422818e-06]
5666.tif,1,[2.1731457e-09 1.0000000e+00]
5128.tif,1,[6.002521e-29 1.000000e+00]
5869.tif,1,[7.7182523e-20 1.0000000e+00]
6623.tif,1,[9.4446131e-07 9.9999905e-01]
2323.tif,1,[2.2660913e-06 9.9999774e-01]
4975.tif,1,[8.081514e-25 1.000000e+00]
3798.tif,1,[7.445937e-06 9.999926e-01]
5499.tif,1,[6.032028e-18 1.000000e+00]
4977.tif,1,[1.8374689e-11 1.0000000e+00]
4036.tif,1,[1.4359002e-18 1.0000000e+00]
3003.tif,1,[6.655132e-10 1.000000e+00]
3765.tif,1,[2.1087885e-21 1.0000000e+00]
5314.tif,1,[2.2658189e-04 9.9977344e-01]
627.tif,1,[3.3533222e-05 9.9996650e-01]
40.tif,1,[2.9487386e-05 9.9997056e-01]
8340.tif,1,[3.6381875e-21 1.0000000e+00]
8426.tif,1,[3.8018156e-32 1.0000000e+00]
6231.tif,1,[5.6534024e-38 1.0000000e+00]
5738.tif,1,[4.9583886e-17 1.0000000e+00]
948.tif,1,[2.98867e-17 1.00000e+00]
7661.tif,1,[6.0131677e-25 1.0000000e+00]
9472.tif,1,[1.3889268e-11 1.0000000e+00]
8751.tif,1,[0. 1.]
8745.tif,1,[0.1900261 0.8099739]
4143.tif,1,[0.25585246 0.74414754]
8976.tif,1,[3.7201205e-28 1.0000000e+00]
949.tif,0,[0.67857    0.32143006]
8590.tif,1,[1.2921631e-14 1.0000000e+00]
7847.tif,1,[5.851394e-11 1.000000e+00]
7700.tif,1,[8.616009e-22 1.000000e+00]
1417.tif,1,[6.6422124e-04 9.9933571e-01]
3200.tif,1,[1.4690472e-28 1.0000000e+00]
2136.tif,1,[2.8904484e-04 9.9971098e-01]
154.tif,1,[1.8873968e-04 9.9981123e-01]
8396.tif,1,[1.0156469e-15 1.0000000e+00]
1869.tif,1,[1.4225019e-37 1.0000000e+00]
3924.tif,1,[5.784526e-18 1.000000e+00]
4093.tif,1,[0.11367469 0.8863253 ]
2409.tif,1,[5.242852e-12 1.000000e+00]
7217.tif,1,[1.3187444e-07 9.9999988e-01]
1666.tif,1,[2.9174814e-07 9.9999976e-01]
2421.tif,1,[6.4098126e-15 1.0000000e+00]
5831.tif,1,[3.3357282e-26 1.0000000e+00]
3501.tif,1,[0.40366602 0.596334  ]
9992.tif,1,[9.0228286e-20 1.0000000e+00]
1302.tif,1,[0.01657849 0.9834215 ]
2637.tif,1,[1.20364305e-14 1.00000000e+00]
6451.tif,0,[0.9954332 0.0045668]
2964.tif,1,[0.00267597 0.997324  ]
5951.tif,1,[5.2347785e-27 1.0000000e+00]
2958.tif,1,[8.761937e-09 1.000000e+00]
5776.tif,1,[1.4170250e-06 9.9999857e-01]
6914.tif,1,[2.2459204e-07 9.9999976e-01]
1909.tif,1,[1.6523478e-05 9.9998343e-01]
4859.tif,1,[1.5270256e-13 1.0000000e+00]
8905.tif,1,[2.8866803e-17 1.0000000e+00]
2582.tif,1,[1.280842e-13 1.000000e+00]
6055.tif,1,[7.927641e-13 1.000000e+00]
1048.tif,1,[6.885200e-07 9.999993e-01]
2541.tif,1,[8.4425428e-06 9.9999154e-01]
4643.tif,1,[2.6844262e-26 1.0000000e+00]
6083.tif,1,[7.0669238e-15 1.0000000e+00]
3851.tif,1,[2.2350895e-07 9.9999976e-01]
8938.tif,1,[0.00812222 0.9918778 ]
907.tif,1,[2.7207072e-09 1.0000000e+00]
6524.tif,1,[0. 1.]
2742.tif,1,[1.0899391e-20 1.0000000e+00]
913.tif,0,[9.996605e-01 3.394985e-04]
2018.tif,1,[4.2317893e-19 1.0000000e+00]
1277.tif,0,[9.9997723e-01 2.2727034e-05]
7014.tif,1,[0.1224158 0.8775842]
7799.tif,1,[1.2379027e-12 1.0000000e+00]
2434.tif,1,[2.1432149e-21 1.0000000e+00]
1673.tif,1,[5.7879719e-04 9.9942124e-01]
5373.tif,1,[4.378312e-12 1.000000e+00]
2387.tif,1,[6.5378181e-06 9.9999344e-01]
1103.tif,1,[9.607593e-12 1.000000e+00]
8443.tif,1,[0.00174516 0.99825484]
8457.tif,1,[6.983283e-07 9.999993e-01]
681.tif,0,[1.0000000e+00 1.0255511e-08]
8319.tif,1,[0.00453778 0.99546224]
5013.tif,1,[4.1368425e-16 1.0000000e+00]
4331.tif,1,[1.2354273e-10 1.0000000e+00]
2740.tif,0,[1.0000000e+00 1.0801186e-10]
6903.tif,0,[1.0000000e+00 1.6346261e-13]
5588.tif,1,[4.8445404e-11 1.0000000e+00]
1088.tif,1,[0. 1.]
6718.tif,1,[8.336209e-09 1.000000e+00]
1063.tif,1,[2.5743585e-19 1.0000000e+00]
4655.tif,1,[5.4949971e-05 9.9994504e-01]
3649.tif,0,[9.9996233e-01 3.7625461e-05]
3891.tif,1,[5.3903577e-31 1.0000000e+00]
3885.tif,1,[2.39181e-24 1.00000e+00]
9416.tif,0,[1.0000000e+00 3.1046912e-10]
5210.tif,1,[5.706696e-11 1.000000e+00]
3852.tif,1,[6.697184e-16 1.000000e+00]
5984.tif,1,[6.621683e-24 1.000000e+00]
2755.tif,1,[5.870017e-11 1.000000e+00]
6527.tif,1,[0.1190136 0.8809864]
1512.tif,0,[1.0000000e+00 2.7414701e-17]
7822.tif,1,[1.13938435e-10 1.00000000e+00]
2966.tif,1,[9.010235e-36 1.000000e+00]
2147.tif,1,[3.8607496e-21 1.0000000e+00]
3259.tif,1,[9.62106e-37 1.00000e+00]
9774.tif,1,[2.7439319e-07 9.9999976e-01]
5614.tif,0,[0.99813443 0.00186561]
5166.tif,1,[0.03132794 0.96867204]
8324.tif,1,[2.6892577e-08 1.0000000e+00]
7588.tif,1,[3.1593142e-04 9.9968410e-01]
1853.tif,1,[1.4197433e-36 1.0000000e+00]
4095.tif,1,[7.787881e-33 1.000000e+00]
6655.tif,1,[6.908544e-14 1.000000e+00]
9200.tif,1,[2.5273081e-37 1.0000000e+00]
9214.tif,1,[2.8116794e-04 9.9971884e-01]
3711.tif,1,[2.9550052e-29 1.0000000e+00]
5406.tif,1,[2.336911e-10 1.000000e+00]
1674.tif,1,[7.145482e-15 1.000000e+00]
7952.tif,1,[1.896116e-32 1.000000e+00]
874.tif,0,[9.9999976e-01 2.5499099e-07]
2786.tif,0,[0.5105832  0.48941675]
2590.tif,0,[0.99569595 0.00430405]
4877.tif,1,[8.6656514e-29 1.0000000e+00]
4644.tif,1,[7.4150753e-34 1.0000000e+00]
4122.tif,1,[1.4286216e-27 1.0000000e+00]
9348.tif,1,[9.0256364e-08 9.9999988e-01]
6913.tif,1,[0.00441753 0.9955825 ]
6091.tif,1,[4.4857723e-17 1.0000000e+00]
3314.tif,0,[9.9959224e-01 4.0779408e-04]
4309.tif,1,[6.6483856e-24 1.0000000e+00]
7600.tif,1,[5.604505e-06 9.999944e-01]
5759.tif,0,[1.0000000e+00 8.2140805e-12]
5639.tif,1,[5.323866e-29 1.000000e+00]
9003.tif,1,[1.3017211e-07 9.9999988e-01]
652.tif,1,[1.24415334e-17 1.00000000e+00]
8109.tif,1,[1.0301721e-19 1.0000000e+00]
5377.tif,1,[7.1632932e-04 9.9928373e-01]
4294.tif,1,[3.9961554e-10 1.0000000e+00]
2626.tif,1,[5.468959e-09 1.000000e+00]
4257.tif,1,[7.968199e-15 1.000000e+00]
4525.tif,0,[1.0000000e+00 7.4221617e-16]
5001.tif,1,[0. 1.]
1515.tif,1,[0.00484677 0.9951532 ]
6905.tif,1,[1.4342706e-23 1.0000000e+00]
5203.tif,1,[8.410717e-08 9.999999e-01]
9438.tif,1,[2.0815463e-25 1.0000000e+00]
4450.tif,1,[1.0847466e-19 1.0000000e+00]
6247.tif,1,[8.2990859e-04 9.9917006e-01]
5941.tif,1,[1.2094331e-29 1.0000000e+00]
8322.tif,1,[0.1281607  0.87183934]
4524.tif,0,[0.9751637  0.02483629]
1448.tif,1,[1.1397275e-18 1.0000000e+00]
8493.tif,1,[8.434448e-30 1.000000e+00]
4732.tif,1,[8.124482e-17 1.000000e+00]
4901.tif,1,[5.4781704e-05 9.9994516e-01]
